Dishes,Recipes
1. West African Chicken and Peanut Stew,"If you like peanut butter, this is definitely a recipe for you! A simple and healthy dish with delicious West African flavors. Perfectly tender chicken with fresh okra, sweet potato, and peanut butter in a savory sauce."
2. Spicy Peri Peri Prawns,"Peri-Peri (also known as piri piri) sauce is a pepper sauce that is popular mostly in the southern part of Africa. It is commonly used as a marinade for meat, but it also can be used as a hot sauce. You can adjust the level of heat depending on how much you like spicy food. Serve your peri peri prawns with plain rice or fresh salad."
3. Chakalaka,"The next recipe is Chakalaka. Already the name sounds cool! It is a South African spicy vegetable relish made with tomatoes and beans. It is traditionally served with bread, and it is also great with barbecues. Try this great recipe and make it suitable for your taste bud or palate."
4. East African Braised Chicken,"Lot’s of Indian spices such as cinnamon, cardamom, and chili powder; plump golden raisins, and dates; this beautiful chicken dish should be on top of your list next time you have a dinner party. As this chicken cooks in the oven, it will fill your house with amazing aromas."
5. Groundnut Stew with Shrimps,"This dish is quite popular in Northern Nigeria and many other neighbouring countries as well. It can be prepared as either a soup or a stew. You will need some large shrimps, peanut butter, and fresh okra. Perfect with plain rice!"
6. Moroccan Lamb Tagine,"Tagine is a North African stew that is simmered in a special pot. In fact, the pot itself is called a tagine. However, you can prepare this delicious dish even if you don’t have a tagine. The stew itself consists of meat, paired with fruits and nuts. Serve with couscous."
7. South African Curried Meat Pie,"Bobotie is a popular South African dish made with spiced minced meat and egg-based topping. This savory pie is great for entertaining the crowd; everyone will love it. This savory-sweet meat pie incorporates spices such as ginger, lemon rind, curry, mango chutney, raisins, and lemon leaf."
8. Red Lentil Soup,"Legumes and vegetables are widely used in Egyptian cuisine. This red lentil soup is a really simple rustic dish packed with minerals and vitamins. This Egyptian version is simmered with tomatoes, and fiery red pepper blended to make it ultra-silky."
9. Senegalese Fish Balls with Spicy Sauce,"Boulettes de poisson or fish balls are made in Senegal when fish is plentiful. The small fish cakes are flavored with garlic, parsley, and chilis, browned in a pan and served with spicy tomato sauce. This recipe reflects a warm and spicy cuisine perfectly."
10. Malva Pudding,"Chocolate Malva Pudding is a decadent traditional South African dessert you must try. Rich, moist, chocolaty, and so easy to make. You will love the caramelized exterior and spongy interior, soaked in warm butter sauce. Serve with whipped cream or ice cream."
1. Authentic Chicken Tikka Masala,"Chicken Tikka Masala is a dish that is guaranteed to be on every Indian restaurant’s menu. This widely popular Indian dish consists of grilled chicken chunks cooked in a creamy spiced tomato sauce. The meat is marinated first with lemon juice and salt, and then second in a yogurt-spice combo, which makes the chicken chunks perfectly tender and tasty."
2. Chinese Braised Oxtail,"The Chinese Braised Oxtail might take a longer time to prepare, but it is incredibly rewarding. After 4 hours of preparation and cooking, you will have a beautifully tender, aromatic meaty dish. Perfect for entertaining as well! Serve it with plain steamed rice."
